建筑面积,建设年代,1990-1995年住宅面积分布,,1996-2000年住宅面积分布,,2001-2005年住宅面积分布,,2006-2010年住宅面积分布,,2011-2015年住宅面积分布,,2016-2020年住宅面积分布,,,,,
117.5,1998,,,98,2000,79.2,2005,,,,,,,,,,
117.4,1998,,,97.8,2000,79.1,2005,,,,,,,,,,
117,1998,,,97.3,2000,78.4,2005,,,,,,,,,,
115.2,1998,,,97.1,2000,78,2005,,,,,,,,,,
113.2,1998,,,95.2,2000,77.1,2005,,,,,,,,,,
113,1998,,,95.1,2000,71.6,2005,,,,,,,,,,
112,1998,,,93.1,2000,64.4,2005,,,,,,,,,,
111.5,1998,,,92.7,2000,,,,,,,,,,,,
110.4,1998,,,92,2000,,,,,,,,,,,,
110.4,1998,,,91.4,2000,,,,,,,,,,,,
110,1998,,,91.4,2000,,,,,,,,,,,,
110,1998,,,90.9,2000,,,,,,,,,,,,
109.7,1998,,,90.8,2000,,,,,,,,,,,,
109.5,1998,,,90.6,2000,,,,,,,,,,,,
108.7,1998,,,89.4,2000,,,,,,,,,,,,
107.1,1998,,,89,2000,,,,,,,,,,,,
107.1,1998,,,88.9,2000,,,,,,,,,,,,
107,1998,,,88.9,2000,,,,,,,,,,,,
107,1998,,,88.6,2000,,,,,,,,,,,,
104.4,1998,,,88.5,2000,,,,,,,,,,,,
104,1998,,,88,2000,,,,,,,,,,,,
103.7,1998,,,87.8,2000,,,,,,,,,,,,
101.7,1998,,,87.7,2000,,,,,,,,,,,,
101,1998,,,86.9,2000,,,,,,,,,,,,
99.2,1998,,,86.7,2000,,,,,,,,,,,,
99.2,1998,,,85.9,2000,,,,,,,,,,,,
98.7,1998,,,85.4,2000,,,,,,,,,,,,
98,1998,,,83.9,2000,,,,,,,,,,,,
97.5,1998,,,83.8,2000,,,,,,,,,,,,
97,1998,,,83.4,2000,,,,,,,,,,,,
96.6,1998,,,83,2000,,,,,,,,,,,,
96.2,1998,,,82.9,2000,,,,,,,,,,,,
96,1998,,,82.8,2000,,,,,,,,,,,,
94.3,1998,,,82.4,2000,,,,,,,,,,,,
93.9,1998,,,82.4,2000,,,,,,,,,,,,
93.7,1998,,,82,2000,,,,,,,,,,,,
93.7,1998,,,81.6,2000,,,,,,,,,,,,
93.1,1998,,,80.6,2000,,,,,,,,,,,,
93,1998,,,80.3,2000,,,,,,,,,,,,
92,1998,,,79.8,2000,,,,,,,,,,,,
91.2,1998,,,79.7,2000,,,,,,,,,,,,
90.8,1998,,,79.2,2000,,,,,,,,,,,,
90.5,1998,,,78.8,2000,,,,,,,,,,,,
90.5,1998,,,78.7,2000,,,,,,,,,,,,
90,1998,,,78.7,2000,,,,,,,,,,,,
89.7,1998,,,78,2000,,,,,,,,,,,,
88,1998,,,78,2000,,,,,,,,,,,,
87.5,1998,,,77.8,2000,,,,,,,,,,,,
86.9,1998,,,76.2,2000,,,,,,,,,,,,
86.1,1998,,,73.1,2000,,,,,,,,,,,,
86,1998,,,69.6,2000,,,,,,,,,,,,
85.9,1998,,,69.5,2000,,,,,,,,,,,,
85.8,1998,,,63.6,2000,,,,,,,,,,,,
85.7,1998,,,,,,,,,,,,,,,,
85.7,1998,,,,,,,,,,,,,,,,
85.5,1998,,,,,,,,,,,,,,,,
85.3,1998,,,,,,,,,,,,,,,,
84.8,1998,,,,,,,,,,,,,,,,
84.8,1998,,,,,,,,,,,,,,,,
84.3,1998,,,,,,,,,,,,,,,,
83,1998,,,,,,,,,,,,,,,,
83,1998,,,,,,,,,,,,,,,,
82.9,1998,,,,,,,,,,,,,,,,
82.5,1998,,,,,,,,,,,,,,,,
81.3,1998,,,,,,,,,,,,,,,,
81,1998,,,,,,,,,,,,,,,,
81,1998,,,,,,,,,,,,,,,,
80.1,1998,,,,,,,,,,,,,,,,
80.1,1998,,,,,,,,,,,,,,,,
80.1,1998,,,,,,,,,,,,,,,,
80,1998,,,,,,,,,,,,,,,,
79.7,1998,,,,,,,,,,,,,,,,
79.5,1998,,,,,,,,,,,,,,,,
79,1998,,,,,,,,,,,,,,,,
79,1998,,,,,,,,,,,,,,,,
79,1998,,,,,,,,,,,,,,,,
78.5,1998,,,,,,,,,,,,,,,,
78.5,1998,,,,,,,,,,,,,,,,
78,1998,,,,,,,,,,,,,,,,
77.3,1998,,,,,,,,,,,,,,,,
77.3,1998,,,,,,,,,,,,,,,,
77.2,1998,,,,,,,,,,,,,,,,
75.3,1998,,,,,,,,,,,,,,,,
73.8,1998,,,,,,,,,,,,,,,,
73.2,1998,,,,,,,,,,,,,,,,
73.2,1998,,,,,,,,,,,,,,,,
71.4,1998,,,,,,,,,,,,,,,,
70,1998,,,,,,,,,,,,,,,,
69.1,1998,,,,,,,,,,,,,,,,
68.8,1998,,,,,,,,,,,,,,,,
54,1998,,,,,,,,,,,,,,,,
146.7,1999,,,,,,,,,,,,,,,,
145.6,1999,,,,,,,,,,,,,,,,
137.5,1999,,,,,,,,,,,,,,,,
134,1999,,,,,,,,,,,,,,,,
130.6,1999,,,,,,,,,,,,,,,,
130.2,1999,,,,,,,,,,,,,,,,
129,1999,,,,,,,,,,,,,,,,
128.5,1999,,,,,,,,,,,,,,,,
128.1,1999,,,,,,,,,,,,,,,,
126.2,1999,,,,,,,,,,,,,,,,
118.9,1999,,,,,,,,,,,,,,,,
118.8,1999,,,,,,,,,,,,,,,,
116,1999,,,,,,,,,,,,,,,,
116,1999,,,,,,,,,,,,,,,,
115.6,1999,,,,,,,,,,,,,,,,
110,1999,,,,,,,,,,,,,,,,
110,1999,,,,,,,,,,,,,,,,
109.9,1999,,,,,,,,,,,,,,,,
109,1999,,,,,,,,,,,,,,,,
107.8,1999,,,,,,,,,,,,,,,,
106.9,1999,,,,,,,,,,,,,,,,
105,1999,,,,,,,,,,,,,,,,
103.4,1999,,,,,,,,,,,,,,,,
101.6,1999,,,,,,,,,,,,,,,,
100.7,1999,,,,,,,,,,,,,,,,
98.7,1999,,,,,,,,,,,,,,,,
97.4,1999,,,,,,,,,,,,,,,,
96.8,1999,,,,,,,,,,,,,,,,
96.6,1999,,,,,,,,,,,,,,,,
95.6,1999,,,,,,,,,,,,,,,,
95.2,1999,,,,,,,,,,,,,,,,
95.1,1999,,,,,,,,,,,,,,,,
95,1999,,,,,,,,,,,,,,,,
94.7,1999,,,,,,,,,,,,,,,,
93.5,1999,,,,,,,,,,,,,,,,
90.9,1999,,,,,,,,,,,,,,,,
90.8,1999,,,,,,,,,,,,,,,,
90.4,1999,,,,,,,,,,,,,,,,
89.9,1999,,,,,,,,,,,,,,,,
87.7,1999,,,,,,,,,,,,,,,,
86.9,1999,,,,,,,,,,,,,,,,
86.7,1999,,,,,,,,,,,,,,,,
86.5,1999,,,,,,,,,,,,,,,,
86.5,1999,,,,,,,,,,,,,,,,
86.3,1999,,,,,,,,,,,,,,,,
85.4,1999,,,,,,,,,,,,,,,,
85,1999,,,,,,,,,,,,,,,,
84,1999,,,,,,,,,,,,,,,,
83.7,1999,,,,,,,,,,,,,,,,
83,1999,,,,,,,,,,,,,,,,
82.3,1999,,,,,,,,,,,,,,,,
82.1,1999,,,,,,,,,,,,,,,,
81.7,1999,,,,,,,,,,,,,,,,
81.7,1999,,,,,,,,,,,,,,,,
76.6,1999,,,,,,,,,,,,,,,,
76.6,1999,,,,,,,,,,,,,,,,
76.4,1999,,,,,,,,,,,,,,,,
76.4,1999,,,,,,,,,,,,,,,,
75,1999,,,,,,,,,,,,,,,,
74.9,1999,,,,,,,,,,,,,,,,
74.5,1999,,,,,,,,,,,,,,,,
72.1,1999,,,,,,,,,,,,,,,,
69.3,1999,,,,,,,,,,,,,,,,
67,1999,,,,,,,,,,,,,,,,
66.7,1999,,,,,,,,,,,,,,,,
66.6,1999,,,,,,,,,,,,,,,,
66.6,1999,,,,,,,,,,,,,,,,
66.5,1999,,,,,,,,,,,,,,,,
66.5,1999,,,,,,,,,,,,,,,,
65.6,1999,,,,,,,,,,,,,,,,
65,1999,,,,,,,,,,,,,,,,
60.9,1999,,,,,,,,,,,,,,,,
60.9,1999,,,,,,,,,,,,,,,,
60.3,1999,,,,,,,,,,,,,,,,
55.2,1999,,,,,,,,,,,,,,,,
47.5,1999,,,,,,,,,,,,,,,,
37,1999,,,,,,,,,,,,,,,,
213.5,2000,,,,,,,,,,,,,,,,
158.2,2000,,,,,,,,,,,,,,,,
148,2000,,,,,,,,,,,,,,,,
144,2000,,,,,,,,,,,,,,,,
136.7,2000,,,,,,,,,,,,,,,,
134.9,2000,,,,,,,,,,,,,,,,
133.6,2000,,,,,,,,,,,,,,,,
133.6,2000,,,,,,,,,,,,,,,,
133,2000,,,,,,,,,,,,,,,,
132.6,2000,,,,,,,,,,,,,,,,
131.4,2000,,,,,,,,,,,,,,,,
128.3,2000,,,,,,,,,,,,,,,,
127.3,2000,,,,,,,,,,,,,,,,
127.2,2000,,,,,,,,,,,,,,,,
126.3,2000,,,,,,,,,,,,,,,,
126,2000,,,,,,,,,,,,,,,,
125.5,2000,,,,,,,,,,,,,,,,
123.9,2000,,,,,,,,,,,,,,,,
120.4,2000,,,,,,,,,,,,,,,,
119.7,2000,,,,,,,,,,,,,,,,
119.2,2000,,,,,,,,,,,,,,,,
117.7,2000,,,,,,,,,,,,,,,,
117,2000,,,,,,,,,,,,,,,,
116.6,2000,,,,,,,,,,,,,,,,
116,2000,,,,,,,,,,,,,,,,
116,2000,,,,,,,,,,,,,,,,
114.6,2000,,,,,,,,,,,,,,,,
114,2000,,,,,,,,,,,,,,,,
114,2000,,,,,,,,,,,,,,,,
112,2000,,,,,,,,,,,,,,,,
111.3,2000,,,,,,,,,,,,,,,,
111.2,2000,,,,,,,,,,,,,,,,
111,2000,,,,,,,,,,,,,,,,
110,2000,,,,,,,,,,,,,,,,
109.3,2000,,,,,,,,,,,,,,,,
107.8,2000,,,,,,,,,,,,,,,,
107.6,2000,,,,,,,,,,,,,,,,
107,2000,,,,,,,,,,,,,,,,
107,2000,,,,,,,,,,,,,,,,
106.6,2000,,,,,,,,,,,,,,,,
105.9,2000,,,,,,,,,,,,,,,,
104.4,2000,,,,,,,,,,,,,,,,
103.7,2000,,,,,,,,,,,,,,,,
103.5,2000,,,,,,,,,,,,,,,,
103.4,2000,,,,,,,,,,,,,,,,
103,2000,,,,,,,,,,,,,,,,
102,2000,,,,,,,,,,,,,,,,
101.9,2000,,,,,,,,,,,,,,,,
101.4,2000,,,,,,,,,,,,,,,,
101.4,2000,,,,,,,,,,,,,,,,
101.4,2000,,,,,,,,,,,,,,,,
101,2000,,,,,,,,,,,,,,,,
101,2000,,,,,,,,,,,,,,,,
100.8,2000,,,,,,,,,,,,,,,,
100.2,2000,,,,,,,,,,,,,,,,
100.1,2000,,,,,,,,,,,,,,,,
99.4,2000,,,,,,,,,,,,,,,,
99.2,2000,,,,,,,,,,,,,,,,
98.5,2000,,,,,,,,,,,,,,,,
98,2000,,,,,,,,,,,,,,,,
97.8,2000,,,,,,,,,,,,,,,,
97.3,2000,,,,,,,,,,,,,,,,
97.1,2000,,,,,,,,,,,,,,,,
95.2,2000,,,,,,,,,,,,,,,,
95.1,2000,,,,,,,,,,,,,,,,
93.1,2000,,,,,,,,,,,,,,,,
92.7,2000,,,,,,,,,,,,,,,,
92,2000,,,,,,,,,,,,,,,,
91.4,2000,,,,,,,,,,,,,,,,
91.4,2000,,,,,,,,,,,,,,,,
90.9,2000,,,,,,,,,,,,,,,,
90.8,2000,,,,,,,,,,,,,,,,
90.6,2000,,,,,,,,,,,,,,,,
89.4,2000,,,,,,,,,,,,,,,,
89,2000,,,,,,,,,,,,,,,,
88.9,2000,,,,,,,,,,,,,,,,
88.9,2000,,,,,,,,,,,,,,,,
88.6,2000,,,,,,,,,,,,,,,,
88.5,2000,,,,,,,,,,,,,,,,
88,2000,,,,,,,,,,,,,,,,
87.8,2000,,,,,,,,,,,,,,,,
87.7,2000,,,,,,,,,,,,,,,,
86.9,2000,,,,,,,,,,,,,,,,
86.7,2000,,,,,,,,,,,,,,,,
85.9,2000,,,,,,,,,,,,,,,,
85.4,2000,,,,,,,,,,,,,,,,
83.9,2000,,,,,,,,,,,,,,,,
83.8,2000,,,,,,,,,,,,,,,,
83.4,2000,,,,,,,,,,,,,,,,
83,2000,,,,,,,,,,,,,,,,
82.9,2000,,,,,,,,,,,,,,,,
82.8,2000,,,,,,,,,,,,,,,,
82.4,2000,,,,,,,,,,,,,,,,
82.4,2000,,,,,,,,,,,,,,,,
82,2000,,,,,,,,,,,,,,,,
81.6,2000,,,,,,,,,,,,,,,,
80.6,2000,,,,,,,,,,,,,,,,
80.3,2000,,,,,,,,,,,,,,,,
79.8,2000,,,,,,,,,,,,,,,,
79.7,2000,,,,,,,,,,,,,,,,
79.2,2000,,,,,,,,,,,,,,,,
78.8,2000,,,,,,,,,,,,,,,,
78.7,2000,,,,,,,,,,,,,,,,
78.7,2000,,,,,,,,,,,,,,,,
78,2000,,,,,,,,,,,,,,,,
78,2000,,,,,,,,,,,,,,,,
77.8,2000,,,,,,,,,,,,,,,,
76.2,2000,,,,,,,,,,,,,,,,
73.1,2000,,,,,,,,,,,,,,,,
69.6,2000,,,,,,,,,,,,,,,,
69.5,2000,,,,,,,,,,,,,,,,
63.6,2000,,,,,,,,,,,,,,,,
57.8,2000,,,,,,,,,,,,,,,,
160.9,2001,,,,,,,,,,,,,,,,
158.9,2001,,,,,,,,,,,,,,,,
154,2001,,,,,,,,,,,,,,,,
149.2,2001,,,,,,,,,,,,,,,,
145.6,2001,,,,,,,,,,,,,,,,
144.7,2001,,,,,,,,,,,,,,,,
144.1,2001,,,,,,,,,,,,,,,,
136.8,2001,,,,,,,,,,,,,,,,
134.7,2001,,,,,,,,,,,,,,,,
128.4,2001,,,,,,,,,,,,,,,,
127.7,2001,,,,,,,,,,,,,,,,
126.1,2001,,,,,,,,,,,,,,,,
124.4,2001,,,,,,,,,,,,,,,,
124.1,2001,,,,,,,,,,,,,,,,
124.1,2001,,,,,,,,,,,,,,,,
123.7,2001,,,,,,,,,,,,,,,,
115,2001,,,,,,,,,,,,,,,,
113.1,2001,,,,,,,,,,,,,,,,
110.9,2001,,,,,,,,,,,,,,,,
110.3,2001,,,,,,,,,,,,,,,,
110.3,2001,,,,,,,,,,,,,,,,
110,2001,,,,,,,,,,,,,,,,
110,2001,,,,,,,,,,,,,,,,
110,2001,,,,,,,,,,,,,,,,
110,2001,,,,,,,,,,,,,,,,
110,2001,,,,,,,,,,,,,,,,
109.9,2001,,,,,,,,,,,,,,,,
109.6,2001,,,,,,,,,,,,,,,,
108,2001,,,,,,,,,,,,,,,,
107.9,2001,,,,,,,,,,,,,,,,
107.4,2001,,,,,,,,,,,,,,,,
107.4,2001,,,,,,,,,,,,,,,,
107.2,2001,,,,,,,,,,,,,,,,
107.2,2001,,,,,,,,,,,,,,,,
107,2001,,,,,,,,,,,,,,,,
106.7,2001,,,,,,,,,,,,,,,,
106.6,2001,,,,,,,,,,,,,,,,
105.6,2001,,,,,,,,,,,,,,,,
105.6,2001,,,,,,,,,,,,,,,,
105.6,2001,,,,,,,,,,,,,,,,
105.2,2001,,,,,,,,,,,,,,,,
105.1,2001,,,,,,,,,,,,,,,,
104.2,2001,,,,,,,,,,,,,,,,
101.4,2001,,,,,,,,,,,,,,,,
101.3,2001,,,,,,,,,,,,,,,,
100.9,2001,,,,,,,,,,,,,,,,
100,2001,,,,,,,,,,,,,,,,
99.9,2001,,,,,,,,,,,,,,,,
99.5,2001,,,,,,,,,,,,,,,,
99.3,2001,,,,,,,,,,,,,,,,
99.3,2001,,,,,,,,,,,,,,,,
99.2,2001,,,,,,,,,,,,,,,,
98.5,2001,,,,,,,,,,,,,,,,
97.6,2001,,,,,,,,,,,,,,,,
96.7,2001,,,,,,,,,,,,,,,,
96.1,2001,,,,,,,,,,,,,,,,
96,2001,,,,,,,,,,,,,,,,
95.8,2001,,,,,,,,,,,,,,,,
95.5,2001,,,,,,,,,,,,,,,,
95.5,2001,,,,,,,,,,,,,,,,
93.2,2001,,,,,,,,,,,,,,,,
93,2001,,,,,,,,,,,,,,,,
91.5,2001,,,,,,,,,,,,,,,,
91.2,2001,,,,,,,,,,,,,,,,
91,2001,,,,,,,,,,,,,,,,
90.7,2001,,,,,,,,,,,,,,,,
90.4,2001,,,,,,,,,,,,,,,,
90,2001,,,,,,,,,,,,,,,,
89.6,2001,,,,,,,,,,,,,,,,
89.6,2001,,,,,,,,,,,,,,,,
88.7,2001,,,,,,,,,,,,,,,,
88.3,2001,,,,,,,,,,,,,,,,
87.4,2001,,,,,,,,,,,,,,,,
86.1,2001,,,,,,,,,,,,,,,,
85.5,2001,,,,,,,,,,,,,,,,
85.5,2001,,,,,,,,,,,,,,,,
85.2,2001,,,,,,,,,,,,,,,,
85,2001,,,,,,,,,,,,,,,,
83.5,2001,,,,,,,,,,,,,,,,
83.4,2001,,,,,,,,,,,,,,,,
81.9,2001,,,,,,,,,,,,,,,,
81,2001,,,,,,,,,,,,,,,,
79.8,2001,,,,,,,,,,,,,,,,
75.3,2001,,,,,,,,,,,,,,,,
75,2001,,,,,,,,,,,,,,,,
74.3,2001,,,,,,,,,,,,,,,,
63,2001,,,,,,,,,,,,,,,,
56.1,2001,,,,,,,,,,,,,,,,
200.6,2002,,,,,,,,,,,,,,,,
165,2002,,,,,,,,,,,,,,,,
144,2002,,,,,,,,,,,,,,,,
134.7,2002,,,,,,,,,,,,,,,,
133,2002,,,,,,,,,,,,,,,,
132.5,2002,,,,,,,,,,,,,,,,
129.9,2002,,,,,,,,,,,,,,,,
127.8,2002,,,,,,,,,,,,,,,,
121.5,2002,,,,,,,,,,,,,,,,
114.5,2002,,,,,,,,,,,,,,,,
113.8,2002,,,,,,,,,,,,,,,,
113.3,2002,,,,,,,,,,,,,,,,
112.5,2002,,,,,,,,,,,,,,,,
110.2,2002,,,,,,,,,,,,,,,,
110.1,2002,,,,,,,,,,,,,,,,
108.7,2002,,,,,,,,,,,,,,,,
108,2002,,,,,,,,,,,,,,,,
108,2002,,,,,,,,,,,,,,,,
107.7,2002,,,,,,,,,,,,,,,,
106.9,2002,,,,,,,,,,,,,,,,
106.5,2002,,,,,,,,,,,,,,,,
105.3,2002,,,,,,,,,,,,,,,,
105,2002,,,,,,,,,,,,,,,,
104.7,2002,,,,,,,,,,,,,,,,
104.5,2002,,,,,,,,,,,,,,,,
102.2,2002,,,,,,,,,,,,,,,,
101,2002,,,,,,,,,,,,,,,,
100.8,2002,,,,,,,,,,,,,,,,
100.7,2002,,,,,,,,,,,,,,,,
99,2002,,,,,,,,,,,,,,,,
98.8,2002,,,,,,,,,,,,,,,,
98,2002,,,,,,,,,,,,,,,,
98,2002,,,,,,,,,,,,,,,,
97.9,2002,,,,,,,,,,,,,,,,
97.1,2002,,,,,,,,,,,,,,,,
97,2002,,,,,,,,,,,,,,,,
95.6,2002,,,,,,,,,,,,,,,,
95.5,2002,,,,,,,,,,,,,,,,
94.6,2002,,,,,,,,,,,,,,,,
93.7,2002,,,,,,,,,,,,,,,,
93.7,2002,,,,,,,,,,,,,,,,
93.6,2002,,,,,,,,,,,,,,,,
91.8,2002,,,,,,,,,,,,,,,,
91.5,2002,,,,,,,,,,,,,,,,
88,2002,,,,,,,,,,,,,,,,
87,2002,,,,,,,,,,,,,,,,
87,2002,,,,,,,,,,,,,,,,
86.9,2002,,,,,,,,,,,,,,,,
86.4,2002,,,,,,,,,,,,,,,,
84.2,2002,,,,,,,,,,,,,,,,
84.2,2002,,,,,,,,,,,,,,,,
83,2002,,,,,,,,,,,,,,,,
83,2002,,,,,,,,,,,,,,,,
82.6,2002,,,,,,,,,,,,,,,,
82.1,2002,,,,,,,,,,,,,,,,
79.3,2002,,,,,,,,,,,,,,,,
77.8,2002,,,,,,,,,,,,,,,,
75.5,2002,,,,,,,,,,,,,,,,
70.1,2002,,,,,,,,,,,,,,,,
10.8,2002,,,,,,,,,,,,,,,,
141.4,2003,,,,,,,,,,,,,,,,
141,2003,,,,,,,,,,,,,,,,
134,2003,,,,,,,,,,,,,,,,
132.4,2003,,,,,,,,,,,,,,,,
129,2003,,,,,,,,,,,,,,,,
128.7,2003,,,,,,,,,,,,,,,,
128,2003,,,,,,,,,,,,,,,,
121.4,2003,,,,,,,,,,,,,,,,
120,2003,,,,,,,,,,,,,,,,
118.6,2003,,,,,,,,,,,,,,,,
112.6,2003,,,,,,,,,,,,,,,,
112,2003,,,,,,,,,,,,,,,,
111.2,2003,,,,,,,,,,,,,,,,
110.7,2003,,,,,,,,,,,,,,,,
109.9,2003,,,,,,,,,,,,,,,,
109.7,2003,,,,,,,,,,,,,,,,
109.3,2003,,,,,,,,,,,,,,,,
109.2,2003,,,,,,,,,,,,,,,,
108.1,2003,,,,,,,,,,,,,,,,
107.5,2003,,,,,,,,,,,,,,,,
107.4,2003,,,,,,,,,,,,,,,,
107.3,2003,,,,,,,,,,,,,,,,
107,2003,,,,,,,,,,,,,,,,
104.6,2003,,,,,,,,,,,,,,,,
103.4,2003,,,,,,,,,,,,,,,,
102,2003,,,,,,,,,,,,,,,,
101.8,2003,,,,,,,,,,,,,,,,
101,2003,,,,,,,,,,,,,,,,
99.6,2003,,,,,,,,,,,,,,,,
96.7,2003,,,,,,,,,,,,,,,,
95.6,2003,,,,,,,,,,,,,,,,
95.4,2003,,,,,,,,,,,,,,,,
94.4,2003,,,,,,,,,,,,,,,,
94.4,2003,,,,,,,,,,,,,,,,
93,2003,,,,,,,,,,,,,,,,
91.3,2003,,,,,,,,,,,,,,,,
91,2003,,,,,,,,,,,,,,,,
90.8,2003,,,,,,,,,,,,,,,,
90.4,2003,,,,,,,,,,,,,,,,
90.3,2003,,,,,,,,,,,,,,,,
90.2,2003,,,,,,,,,,,,,,,,
89.7,2003,,,,,,,,,,,,,,,,
89,2003,,,,,,,,,,,,,,,,
88.2,2003,,,,,,,,,,,,,,,,
87.9,2003,,,,,,,,,,,,,,,,
87.3,2003,,,,,,,,,,,,,,,,
87,2003,,,,,,,,,,,,,,,,
85.8,2003,,,,,,,,,,,,,,,,
85.5,2003,,,,,,,,,,,,,,,,
84,2003,,,,,,,,,,,,,,,,
83.7,2003,,,,,,,,,,,,,,,,
77.7,2003,,,,,,,,,,,,,,,,
77.2,2003,,,,,,,,,,,,,,,,
77.2,2003,,,,,,,,,,,,,,,,
77.2,2003,,,,,,,,,,,,,,,,
76.3,2003,,,,,,,,,,,,,,,,
74.4,2003,,,,,,,,,,,,,,,,
72.7,2003,,,,,,,,,,,,,,,,
71,2003,,,,,,,,,,,,,,,,
68.4,2003,,,,,,,,,,,,,,,,
145.3,2004,,,,,,,,,,,,,,,,
143.9,2004,,,,,,,,,,,,,,,,
142,2004,,,,,,,,,,,,,,,,
141.7,2004,,,,,,,,,,,,,,,,
138.4,2004,,,,,,,,,,,,,,,,
128,2004,,,,,,,,,,,,,,,,
127.8,2004,,,,,,,,,,,,,,,,
122,2004,,,,,,,,,,,,,,,,
121.3,2004,,,,,,,,,,,,,,,,
120.4,2004,,,,,,,,,,,,,,,,
120,2004,,,,,,,,,,,,,,,,
119.6,2004,,,,,,,,,,,,,,,,
118,2004,,,,,,,,,,,,,,,,
117.2,2004,,,,,,,,,,,,,,,,
117,2004,,,,,,,,,,,,,,,,
117,2004,,,,,,,,,,,,,,,,
116.3,2004,,,,,,,,,,,,,,,,
115.9,2004,,,,,,,,,,,,,,,,
114,2004,,,,,,,,,,,,,,,,
112.2,2004,,,,,,,,,,,,,,,,
111.9,2004,,,,,,,,,,,,,,,,
110.5,2004,,,,,,,,,,,,,,,,
109.6,2004,,,,,,,,,,,,,,,,
109.4,2004,,,,,,,,,,,,,,,,
108,2004,,,,,,,,,,,,,,,,
107.5,2004,,,,,,,,,,,,,,,,
105.6,2004,,,,,,,,,,,,,,,,
105.4,2004,,,,,,,,,,,,,,,,
105.4,2004,,,,,,,,,,,,,,,,
104.5,2004,,,,,,,,,,,,,,,,
104.5,2004,,,,,,,,,,,,,,,,
104.4,2004,,,,,,,,,,,,,,,,
103.8,2004,,,,,,,,,,,,,,,,
103,2004,,,,,,,,,,,,,,,,
102.7,2004,,,,,,,,,,,,,,,,
102.7,2004,,,,,,,,,,,,,,,,
102.7,2004,,,,,,,,,,,,,,,,
102,2004,,,,,,,,,,,,,,,,
100.9,2004,,,,,,,,,,,,,,,,
100.5,2004,,,,,,,,,,,,,,,,
99.9,2004,,,,,,,,,,,,,,,,
99.6,2004,,,,,,,,,,,,,,,,
98.6,2004,,,,,,,,,,,,,,,,
98.5,2004,,,,,,,,,,,,,,,,
96.1,2004,,,,,,,,,,,,,,,,
96.1,2004,,,,,,,,,,,,,,,,
96.1,2004,,,,,,,,,,,,,,,,
95.7,2004,,,,,,,,,,,,,,,,
95.7,2004,,,,,,,,,,,,,,,,
95.6,2004,,,,,,,,,,,,,,,,
94.7,2004,,,,,,,,,,,,,,,,
94.6,2004,,,,,,,,,,,,,,,,
94.6,2004,,,,,,,,,,,,,,,,
94.5,2004,,,,,,,,,,,,,,,,
94.3,2004,,,,,,,,,,,,,,,,
94.1,2004,,,,,,,,,,,,,,,,
94,2004,,,,,,,,,,,,,,,,
93.3,2004,,,,,,,,,,,,,,,,
93,2004,,,,,,,,,,,,,,,,
92.9,2004,,,,,,,,,,,,,,,,
91.3,2004,,,,,,,,,,,,,,,,
91,2004,,,,,,,,,,,,,,,,
90,2004,,,,,,,,,,,,,,,,
88.5,2004,,,,,,,,,,,,,,,,
88.3,2004,,,,,,,,,,,,,,,,
86.5,2004,,,,,,,,,,,,,,,,
86,2004,,,,,,,,,,,,,,,,
85.9,2004,,,,,,,,,,,,,,,,
85.5,2004,,,,,,,,,,,,,,,,
84,2004,,,,,,,,,,,,,,,,
83.5,2004,,,,,,,,,,,,,,,,
83.3,2004,,,,,,,,,,,,,,,,
81.9,2004,,,,,,,,,,,,,,,,
81.5,2004,,,,,,,,,,,,,,,,
81,2004,,,,,,,,,,,,,,,,
81,2004,,,,,,,,,,,,,,,,
78,2004,,,,,,,,,,,,,,,,
73.9,2004,,,,,,,,,,,,,,,,
71.8,2004,,,,,,,,,,,,,,,,
65.1,2004,,,,,,,,,,,,,,,,
318,2005,,,,,,,,,,,,,,,,
190.9,2005,,,,,,,,,,,,,,,,
174.5,2005,,,,,,,,,,,,,,,,
171.1,2005,,,,,,,,,,,,,,,,
146.1,2005,,,,,,,,,,,,,,,,
143.5,2005,,,,,,,,,,,,,,,,
140.9,2005,,,,,,,,,,,,,,,,
129.4,2005,,,,,,,,,,,,,,,,
127.4,2005,,,,,,,,,,,,,,,,
127.3,2005,,,,,,,,,,,,,,,,
127.2,2005,,,,,,,,,,,,,,,,
124.8,2005,,,,,,,,,,,,,,,,
123.3,2005,,,,,,,,,,,,,,,,
122.3,2005,,,,,,,,,,,,,,,,
120.5,2005,,,,,,,,,,,,,,,,
120.4,2005,,,,,,,,,,,,,,,,
119.5,2005,,,,,,,,,,,,,,,,
118,2005,,,,,,,,,,,,,,,,
117.5,2005,,,,,,,,,,,,,,,,
114.6,2005,,,,,,,,,,,,,,,,
111.9,2005,,,,,,,,,,,,,,,,
110.6,2005,,,,,,,,,,,,,,,,
110.4,2005,,,,,,,,,,,,,,,,
110.4,2005,,,,,,,,,,,,,,,,
109,2005,,,,,,,,,,,,,,,,
108.4,2005,,,,,,,,,,,,,,,,
107.2,2005,,,,,,,,,,,,,,,,
107,2005,,,,,,,,,,,,,,,,
105,2005,,,,,,,,,,,,,,,,
103.1,2005,,,,,,,,,,,,,,,,
103.1,2005,,,,,,,,,,,,,,,,
102.9,2005,,,,,,,,,,,,,,,,
101,2005,,,,,,,,,,,,,,,,
100.1,2005,,,,,,,,,,,,,,,,
98,2005,,,,,,,,,,,,,,,,
