建筑面积,有无电梯,户型建筑总开间,户型建筑总进深,总价,建筑总楼,梯户比例,建设年代,所在区域,入户大门朝向,客厅面积,客厅朝向,客厅开间,客厅进深
157.4,2,18797,7548,960,6,一梯两户,1993,2,2,79.6 ,3,7548,12980
79,1,5948,9938,430,26,两梯八户,1993,2,4,18.4 ,3,3529,5066
91.4,1,6161,10169,560,26,两梯八户,1993,2,1,14.7 ,8,5378,4101
91,1,10455,7222,116,13,二梯八户,1993,3,2,18.0 ,5,4378,4104
116.2,2,10787,9330,246,7,一梯两户,1993,3,4,21.7 ,3,4209,5163
64.9,2,8837,9298,350,5,一梯两户,1993,1,3,14.9 ,3,3106,4089
94.3,1,9485,9502,550,8,一梯六户,1993,1,6,22.5 ,8,5404,4158
92.4,2,7141,12627,150,7,一梯两户,1993,3,3,31.3 ,3,3802,8118
88.6,1,8265,11439,200,7,一梯两户,1993,3,1,18.7 ,1,5006,3742
106.3,1,13165,12810,417.9,25,两梯八户,1993,2,4,20.1 ,3,3885,5177
110.7,1,12451,12885,396,33,两梯八户,1993,2,5,19.0 ,4,3600,3905
81.1,2,8857,9161,180,7,一梯两户,1993,3,4,16.5 ,3,3673,4362
89,2,7831,11087,208,7,一梯两户,1993,3,6,31.7 ,2,5047,5242
95.8,2,9790,10658,225,7,一梯四户,1993,3,4,16.6 ,3,3746,4338
101.8,2,8700,12645,200,7,一梯两户,1993,3,1,18.1 ,3,3683,4885
85,2,14202,7376,230,9,一梯四户,1993,2,3,30.0 ,1,5317,6185
70.7,1,7890,8320,163,12,一梯四户,1993,3,2,23.2 ,3,7890,2320
70.7,1,7785,8800,165,12,一梯四户,1993,3,2,23.2 ,3,7785,8320
81.2,1,9870,8530,182,12,一梯四户,1993,3,1,25.1 ,7,9870,5805
81.8,1,9799,8243,183,12,一梯四户,1993,3,1,23.9 ,7,9799,5659
96.3,1,6314,12630,377,8,一梯五户,1993,2,5,14.6 ,4,3477,4186
71.4,1,12354,6345,215,9,一梯八户,1993,3,8,34.0 ,6,3660,6124
121.3,1,8710,13669,465,25,两梯八户,1993,2,2,39.6 ,1,3725,10742
63.7,2,6595,8268,170,9,一梯四户,1993,2,3,23.5 ,1,3665,8268
90.2,2,3617,11092,220,6,一梯四户,1993,3,4,24.3 ,7,3617,6729
97.1,2,11100,13175,2650,6,一梯四户,1993,3,5,32.5 ,6,4215,6960
92.5,2,9642,10671,245,6,一梯四户,1993,3,2,29.0 ,7,3371,7663
104,1,8090,9163,380,31,八梯三十七户,1993,2,1,44.3 ,3,8090,9163
97,1,9443,12133,210,12,两梯八户,1993,3,3,21.8 ,8,4425,5993
95.4,1,8210,8956,520,11,一梯五梯,1994,1,3,32.8 ,1,3293,8210
72.1,2,9455,5975,155,6,一梯一户,1994,2,4,20.3 ,3,6415,3105
68.6,2,6130,10833,296,9,一梯七户,1994,2,1,22.7 ,3,2526,6677
98.4,1,9085,13259,760,8,一梯三户,1994,1,3,26.9 ,3,4306,5838
100,1,9052,9380,515,6,二梯六梯,1994,3,2,15.9 ,3,3406,4044
72,1,8400,8375,360,18,二梯六梯,1994,3,2,11.3 ,3,3198,3545
75.5,1,8571,9034,380,18,二梯四梯梯,1994,3,3,10.3 ,5,2975,3471
108.9,1,10987,9797,530,9,一梯四户,1994,1,2,17.5 ,7,4191,3720
104.6,2,10351,14155,285,7,一梯两户,1994,3,4,57.0 ,3,6333,5343
43,2,7171,6384,183,8,一梯四户,1994,2,2,11.8 ,5,2918,4040
97.8,2,10841,7651,200,5,一梯八户,1994,3,2,31.9 ,7,3388,7651
65.9,2,10933,7860,250,7,一梯三户,1994,2,4,17.0 ,9,3367,6494
109.8,1,9308,10287,455,19,二梯六梯,1994,1,7,26.0 ,4,3392,7661
102.4,2,10790,12120,343,9,一梯四户,1994,1,3,26.6 ,7,3710,6372
85.5,2,7598,11078,245,9,一梯七户,1994,2,2,32.9 ,4,3820,7207
120,2,10057,11670,180,8,一梯一户,1994,3,4,29.0 ,3,10057,5764
79.2,2,6423,11931,150,8,一梯两户,1994,3,3,27.4 ,3,6423,8280
102,2,9824,16320,198,8,一梯两户,1994,3,2,39.6 ,1,9824,11565
79.2,2,6785,12188,160,8,一梯两户,1994,3,3,25.6 ,3,6785,8742
89,1,6003,11291,266,7,一梯两户,1994,2,6,15.3 ,7,3658,4358
63.3,1,4531,12584,175,8,一梯两户,1994,2,4,10.4 ,3,3444,3022
84.9,2,9070,10245,540,6,一梯一户,1994,2,3,15.5 ,7,3805,4096
102.4,2,8728,12499,328,9,一梯四户,1994,2,2,17.0 ,7,3186,5344
73.4,1,11609,5289,330,9,一梯六户,1994,2,1,23.4 ,3,4620,5065
67.5,1,9480,6175,120,7,一梯两户,1994,3,2,17.8 ,3,4880,4235
69.6,1,11146,6602,560,8,一梯八户,1994,2,3,21.4 ,3,8620,4690
101.4,1,11329,8627,395,19,两梯四户,1994,1,4,28.4 ,5,3702,8076
70.1,2,9316,9326,450,9,一梯五梯,1994,2,4,24.0 ,3,3935,5565
98.9,2,6370,13622,398,11,一梯一梯二梯,1994,2,3,31.9 ,1,4410,6370
64.7,2,7356,9050,280,11,一梯一梯二梯,1994,2,3,23.1 ,1,3664,7636
84.8,2,10073,10406,180,7,一梯两户,1994,3,3,25.2 ,3,3634,6624
118.3,1,8110,13824,632,18,两梯八户,1995,2,4,20.3 ,5,4672,4181
90.2,2,8496,11622,290,9,一梯四梯梯,1995,1,4,24.9 ,3,3452,6705
93.7,2,9224,9308,338,9,一梯四梯梯,1995,1,3,16.1 ,7,3660,4408
97.5,2,9246,11202,330,8,一梯7,1995,1,4,23.1 ,7,3484,6537
99.5,2,9595,10538,104.8,7,一梯一梯,1995,3,6,22.9 ,2,3690,5885
135.7,2,10955,16320,260,8,一梯二梯,1995,3,3,43.7 ,5,5375,8239
61.4,2,8867,11569,119.8,7,一梯二梯,1995,3,2,27.1 ,7,2604,6139
57,2,7750,11825,120,7,一梯二梯,1995,3,6,25.6 ,2,3870,5920
71.3,2,6364,10998,123,7,一梯四梯梯,1995,3,4,26.4 ,1,3401,9589
78,2,6180,12270,127,6,一梯二梯,1995,3,6,23.8 ,2,3465,6390
55.4,1,6088,11263,228,9,一梯两户,1995,1,4,11.6 ,7,3091,3759
85.8,1,11555,8260,220,11,一梯四梯梯,1995,3,4,22.6 ,5,5084,7756
116,2,11030,8030,228,7,一梯六户,1995,3,7,23.2 ,2,4330,5030
90,2,9300,9970,188,7,一梯四户,1995,3,2,23.4 ,1,4390,5350
86.7,2,9520,7870,156,7,一梯四户,1995,3,3,17.1 ,3,3850,4440
88,2,11900,10480,239.9,8,一梯四户,1995,3,1,23.7 ,3,3980,5900
117.2,1,11279,10349,900,31,三梯九户,1995,1,3,27.7 ,5,4.545,6263
95.8,1,9295,105002,618,18,一梯八户,1995,1,3,15.9 ,3,3.095,5021
88.1,1,9111,11533,210,7,一梯四梯梯,1995,3,4,13.9 ,3,3438,4039
89.2,1,14214,6670,490,8,一梯三户,1995,1,3,27.3 ,3,3495,7177
78.4,2,10394,11862,338,9,一梯四户,1995,1,2,25.5 ,5,2437,5439
87.9,2,9650,9327,485,8,一梯三户,1995,1,3,9.9 ,3,2876,3444
68.1,2,9352,7286,308,17,一梯十户,1995,2,1,20.9 ,7,3099,8127
86.9,2,11432,6831,435,7,一梯四梯梯,1995,1,3,25.6 ,7,9012,3030
85.5,2,9527,11120,520,7,一梯二梯,1995,1,4,26.0 ,9,3602,5940
91.3,2,11522,9729,440,8,一梯二梯,1995,1,4,29.1 ,3,8215,3414
98.1,2,8412,10085,280,9,一梯五户,1995,2,3,20.9 ,7,6363,3291
89.5,2,7390,10165,268,9,一梯五户,1995,2,3,15.6 ,7,4945,3155
76.3,2,6765,13150,233,9,一梯两户,1995,2,1,23.0 ,3,3397,6760
125,1,15121,8026,450,25,一梯五户,1995,1,3,51.2 ,7,9105,8026
83.1,1,12275,7195,305,9,一梯四户,1995,1,3,21.3 ,3,3450,6040
92.8,1,7642,15113,320,9,一梯八户,1995,1,1,31.2 ,9,4575,6999
55.4,2,5651,9246,178,6,一梯十九户,1995,2,1,12.3 ,1,2872,4267
150,1,14904,8736,550,22,两梯五户,1995,2,3,36.5 ,3,2837,7751
152.2,1,14624,8855,630,22,两梯五户,1995,2,3,16.7 ,3,4054,3812
99,2,10941,10138,730,8,一梯四户,1995,1,4,47.7 ,3,10941,7278
81,2,8553,10412,610,8,一梯四户,1995,1,2,21.0 ,3,3282,6240
60.3,2,6129,11132,352,9,一梯四户,1995,2,2,11.7 ,1,3397,3445
95.1,2,7593,13730,530,9,一梯四户,1995,2,3,21.8 ,2,4747,4603
103,2,5930,10625,510,9,一梯四户,1995,2,3,18.9 ,1,3055,6190
107,2,10486,9364,130,7,,1995,3,1,13.3 ,7,3131,2724
102,2,9247,15083,95,6,,1995,3,4,25.8 ,3,4306,6095
99.8,1,5738,12179,460,10,一梯八户,1995,2,1,21.5 ,7,4101,5244
107.8,2,9040,12825,235,8,一梯八户,1995,3,4,26.7 ,3,3795,6714
87.5,1,10525,8980,358,19,两梯四户,1995,2,2,14.9 ,1,4280,3479
84.7,1,6319,13366,365,28,三梯十二户,1995,1,1,27.1 ,3,3714,10308
93,2,6641,14791,498,9,一梯三户,1995,1,3,14.2 ,3,3141,4509
81.8,2,9371,9656,560,9,一梯六户,1995,2,4,31.6 ,3,4680,5415
87.8,2,7585,10394,435,8,一梯四户,1995,2,2,17.0 ,1,3228,4318
102,2,10527,11056,310,7,一梯八户,1995,2,7,20.4 ,2,3053,6643
101.7,2,10070,111085,298,7,一梯八户,1995,2,3,16.8 ,3,3160,5315
98.6,2,9224,11293,345,9,一梯三户,1995,1,3,29.8 ,7,4186,7839
98.1,1,10165,8214,358,11,一梯四户,1995,3,3,18.7 ,1,3788,4075
106.8,1,11264,8598,413,11,一梯四户,1995,3,3,14.4 ,3,3874,3311
87.2,2,12516,7236,470,9,一梯四户,1995,1,1,21.9 ,3,6702,5227
83.8,2,7939,8983,300,9,一梯七户,1995,1,2,19.1 ,3,3451,5536
93,1,9491,9740,297,10,一梯六户,1995,1,4,13.5 ,1,3598,3830
92.1,1,8858,12641,310,8,一梯六户,1995,1,4,21.8 ,3,4019,5551
