建筑面积,有无电梯,户型建筑总开间,户型建筑总进深,总价,建筑总楼,梯户比例,建设年代,所在区域,入户大门朝向,客厅面积,客厅朝向,客厅开间,客厅进深
167.7,1,15306,9470,760,39,三梯八户,1997,2,1,56.5 ,1,5537,9470
129,1,9894,10773,300,9,一梯三户,1997,2,2,25.0 ,5,5825,7328
129,1,9894,11073,300,9,一梯三梯,1997,2,2,25.0 ,5,5825,4300
95.4,1,11841,7954,440,30,三梯八户,1997,1,1,26.8 ,5,5817,7954
85.2,2,9402,11601,240,6,一梯四户,1997,3,8,31.8 ,2,4249,9006
105.5,2,9561,9470,250,8,一梯三户,1997,3,4,28.8 ,3,3095,6193
92.1,2,9806,10113,228,7,一梯四户,1997,3,2,25.0 ,3,3777,3654
94.7,2,10686,11303,205,6,一梯四户,1997,3,2,22.4 ,3,3442,6056
208,2,9897,9884,208,7,一梯四户,1997,3,2,25.6 ,3,3858,6637
128.5,1,12431,9786,730,25,两梯七户,1998,1,4,37.7 ,3,5035,6381
94.3,1,7630,11920,480,31,三梯八户,1998,1,1,16.4 ,1,5210,3140
77.3,2,10330,6342,152,7,一梯四户,1998,3,1,17.9 ,7,4318,4141
81.3,2,7406,11417,178,8,一梯两户,1998,3,4,22.1 ,3,4327,6722
73.8,2,7321,12212,180,8,一梯三梯,1998,3,3,21.7 ,3,4673,5967
82.9,1,7380,11900,198,7,一梯六户,1998,3,3,20.7 ,7,4060,5100
107,2,9960,10760,250,9,一梯四户,1998,3,2,16.5 ,3,3820,4330
122,1,1162,9354,239,7,一梯四梯梯,1998,3,3,33.0 ,7,5147,5672
85.7,1,11031,7688,170,7,一梯四梯梯,1998,3,3,15.0 ,7,4350,2500
99.2,1,9917,8554,645,30,三梯八户,1998,2,4,28.4 ,5,4998,5289
133.8,1,10907,14586,850,27,两梯十二户,1998,2,1,42.3 ,3,7491,5705
99.2,1,8790,11455,590,30,三梯八户,1998,2,3,24.0 ,1,4685,5115
82.5,2,8320,10570,179,8,一梯二梯,1998,3,4,23.8 ,3,4243,5602
107.1,2,11072,9109,180,7,一梯四梯梯,1998,3,3,18.1 ,7,4873,3722
84.8,2,9716,10309,788,6,一梯四户,1998,1,1,23.0 ,3,3655,6302
136.1,1,14238,11990,988,30,两梯四户,1998,2,1,33.4 ,3,4487,9285
78.5,1,9844,9019,530,30,两梯八户,1998,2,6,26.7 ,4,3886,8032
136.1,1,13525,11015,1000,30,两梯四户,1998,2,2,25.0 ,3,4141,7098
136.1,1,14340,9486,988,30,两梯四户,1998,2,2,33.4 ,3,4524,6781
86,2,9398,8773,405,9,一梯四户,1998,2,5,26.6 ,6,3133,8505
136.1,1,13525,10178,1000,30,两梯四户,1998,2,2,29.4 ,3,4175,7042
138.4,1,11016,12562,840,11,一梯四户,1998,2,3,38.0 ,7,3431,9087
86.1,1,8802,11270,500,8,一梯二梯,1998,1,4,13.3 ,3,3164,3422
165.1,1,15724,16420,1390,38,三梯八户,1998,1,3,47.2 ,7,5919,7403
79.5,2,9468,9363,225,6,一梯四户,1998,3,1,14.6 ,7,3546,4110
80.1,2,9116,9220,213,6,一梯三户,1998,3,1,14.5 ,7,3610,4004
219.5,2,10080,17015,2100,6,一梯两户,1998,2,3,56.2 ,7,6840,6555
123.8,1,11974,12703,620,30,两梯十六户,1998,1,4,19.2 ,1,5535,3472
109.7,1,12827,9024,850,28,三梯八户,1998,1,4,23.5 ,1,5450,3648
81,2,9453,9738,450,9,一梯五户,1998,1,4,27.4 ,3,5065,6101
104,2,8700,13450,135,7,,1998,3,3,19.7 ,1,4200,4700
54,2,8382,6157,249,7,一梯七户,1998,2,4,14.8 ,5,3057,4973
80.1,2,12687,6572,200,4,一梯两户,1998,3,2,13.6 ,1,3317,4110
97,2,8177,10890,220,7,一梯两户,1998,3,3,19.4 ,3,4492,3638
80,1,11030,11940,310,4,一梯一梯,1998,3,4,13.5 ,3,3356,4135
86.9,2,8815,11096,420,8,一梯十四户,1998,2,3,22.4 ,7,2870,9110
107.1,2,11612,9209,180,7,一梯四户,1998,3,3,20.5 ,7,4873,4222
136.7,2,12115,12305,265,8,一梯俩户,1998,3,4,30.3 ,3,4856,7254
123.5,2,11201,12184,238,8,一梯俩户,1998,3,3,31.1 ,3,5693,5456
83,1,12914,7882,185,8,一梯八户,1998,3,5,21.8 ,6,5339,4079
79,2,8745,10666,260,8,一梯两户,1998,2,4,21.7 ,3,3194,7931
93,2,8518,10930,340,8,一梯四户,1998,2,3,22.3 ,7,3087,7239
113.2,2,10457,14566,313,9,一梯一户,1998,2,2,23.7 ,3,3235,6787
93.9,1,7902,12782,330,12,一梯九梯,1998,1,2,23.9 ,5,3945,5931
68.8,1,8980,6892,235,12,二梯八梯,1998,1,4,19.9 ,7,5879,3159
104.4,1,12517,9073,468,9,一梯四户,1998,1,4,29.9 ,3,8600,3479
120,1,10149,11190,750,9,一梯四户,1998,1,1,39.7 ,3,10149,3920
115.2,2,11673,11040,498,9,一梯六户,1998,2,3,24.3 ,5,3891,6990
131,1,10682,13500,695,17,两梯七户,1998,2,3,23.4 ,4,3705,5922
77.2,1,7069,13021,426,9,一梯五户,1998,1,4,5.7 ,9,2763,2073
93.1,1,6747,12828,510,9,一梯五户,1998,1,4,27.7 ,7,3947,7744
77.3,1,9437,9410,490,9,一梯两户,1998,1,2,22.2 ,3,3631,6051
90.8,1,8587,9226,320,9,一梯四户,1998,1,4,29.2 ,2,5212,5692
96.6,1,11612,7670,390,9,一梯六户,1998,1,4,34.5 ,3,8395,6237
96,1,11557,7619,360,9,一梯六户,1998,1,4,24.9 ,3,3723,6419
84.8,1,7199,13361,300,9,一梯四户,1998,1,4,21.5 ,1,3775,5693
79,1,9497,7780,375,7,一梯两户,1998,1,2,15.3 ,3,3452,4415
75.3,2,9930,8889,179,8,一梯八户,1998,3,5,16.2 ,4,4389,3469
107,2,11870,11696,300,6,一梯四户,1998,3,6,14.7 ,4,3870,3803
96.2,2,10423,11620,300,6,一梯四户,1998,3,5,15.1 ,2,3918,3857
81,2,6948,13644,205,4,一梯两户,1998,3,6,17.8 ,2,4102,4934
90,1,9898,7973,325,22,两梯八户,1998,2,2,24.2 ,1,2886,6119
91.2,1,8070,11730,950,38,三梯八户,1998,2,6,0.0 ,9,0,0
101.7,2,9997,8591,278,6,一梯四户,1998,3,5,26.2 ,2,3742,6117
97.5,2,10294,8647,268,7,一梯四户,1998,3,4,30.2 ,5,3890,8647
71.4,2,6508,14445,480,7,一梯一户,1998,2,4,19.5 ,3,3307,5577
70,2,7726,11592,468,7,一梯两户,1998,2,3,17.4 ,5,5266,3239
109.5,1,8910,11544,930,32,三梯十四户,1998,2,1,15.4 ,1,4402,3530
113,1,7492,16106,900,32,三梯十七户,1998,2,3,28.2 ,5,6600,5026
92,1,9954,8833,538,27,两梯八户,1998,2,2,27.3 ,3,3714,5512
101,1,9014,11075,318,9,一梯四梯梯,1998,3,7,30.1 ,3,3417,4910
122,2,8957,15462,420,4,一梯二梯,1998,3,1,23.8 ,3,4079,5840
117,2,9987,13938,310,6,一梯四梯梯,1998,3,8,40.4 ,1,5861,5308
117.4,2,10205,20028,350,7,一梯四梯梯,1998,3,7,38.9 ,6,3508,6090
117.5,2,10045,13062,329,7,一梯四梯梯,1998,3,3,29.1 ,1,3735,7795
85.3,2,8099,10700,600,8,一梯二梯,1998,1,1,22.0 ,7,3645,5705
98,1,10922,13532,470,9,一梯六梯,1998,1,1,20.0 ,1,10922,3813
85.5,2,6876,10588,287,9,一梯六户,1998,1,3,12.0 ,9,3337,3605
69.1,1,6406,8338,190,9,一梯三户,1998,2,1,21.2 ,5,3269,7067
98.7,1,9631,7236,293,9,一梯六户,1998,2,1,28.9 ,1,3282,7236
128.8,1,12863,8548,366,9,一梯四户,1998,2,1,56.2 ,3,10209,8548
78.5,1,7097,8767,250,27,两梯八户,1998,2,3,30.3 ,1,3450,8767
93.7,1,12631,9364,398,12,一梯二梯五梯,1998,1,2,27.1 ,7,3606,6188
73.2,1,12092,6019,329,12,一梯二梯五梯,1998,1,2,20.2 ,7,4190,4577
110.4,1,9689,7341,499,19,二梯二梯,1998,1,3,15.4 ,3,1983,3357
110,1,8173,12310,500,19,二梯二梯,1998,1,1,30.3 ,7,3305,8568
110.4,1,12036,7907,499,19,两梯九户,1998,1,3,15.4 ,1,3357,1983
93.7,1,9364,12631,398,12,一梯八户,1998,1,2,27.1 ,1,3606,6188
73.2,1,12212,6039,329,12,一梯八户,1998,1,2,20.2 ,7,4190,4577
110,1,8173,12310,500,19,两梯九户,1998,1,2,30.3 ,7,3305,8568
168.9,1,15921,12119,1315,30,三梯梯四梯梯户,1998,1,3,44.1 ,1,5760,7904
111.5,1,12915,10640,695,30,三梯梯一梯二梯户,1998,1,4,20.2 ,9,3915,4408
90.5,1,6990,10765,350,28,三梯六户,1998,3,2,12.9 ,3,3694,3480
87.5,1,6858,12699,268,9,一梯五户,1998,1,7,19.1 ,4,5799,3289
79.7,1,10288,8773,320,9,一梯八户,1998,1,5,26.5 ,6,5010,6143
79,1,10317,7468,308,9,一梯八户,1998,1,2,24.0 ,5,5142,4778
85.8,1,6744,10728,290,9,一梯八户,1998,1,1,39.1 ,5,10102,3695
85.9,1,8378,11879,328,20,两梯八户,1998,1,4,20.1 ,5,4551,4440
112,1,12112,5200,426,20,两梯八户,1998,1,2,22.8 ,1,4141,5200
108.7,1,12876,7423,398,15,两梯八户,1998,1,4,16.2 ,7,4140,3916
143.9,1,11269,12476,990,31,两梯七户,1998,2,3,39.0 ,1,4373,9533
85.7,1,11031,11031,170,7,一梯四梯梯,1998,3,3,27.2 ,7,4350,4350
122,1,11280,11280,239,7,一梯四梯梯,1998,3,3,42.8 ,7,5147,4604
90.5,1,10794,6146,197,7,一梯二梯,1998,3,1,23.6 ,7,3442,3442
83,1,11340,8148,350,7,一梯四户,1998,2,3,25.8 ,1,4562,5868
118,2,10008,10287,320,7,一梯五户,1998,3,7,16.3 ,4,4151,3924
89.7,1,8286,9481,309,12,一梯五户,1998,3,7,11.3 ,4,3873,2919
84.3,2,9782,10332,225,8,一梯四户,1998,3,4,26.5 ,7,3990,6431
78,2,8564,10811,200,7,一梯两户,1998,3,4,27.7 ,3,3590,7485
80.1,2,7350,14521,220,10,一梯四梯梯,1998,2,4,38.6 ,5,4050,7350
88,2,10998,7442,330,8,一梯五户,1998,1,3,22.1 ,1,3260,7442
103.7,2,14764,8375,610,9,一梯三户,1998,1,1,40.3 ,3,6072,6000
118.8,1,9378,12813,382,12,一梯三梯,1999,1,2,22.0 ,1,3939,5597
60.9,2,5870,10895,169.5,9,一梯四户,1999,1,6,18.2 ,9,3193,5622
60.9,2,5870,10895,169.5,9,一梯四户,1999,1,6,18.2 ,9,3193,5622
101.6,2,10341,10435,345,7,一梯三户,1999,1,3,35.1 ,7,3955,6380
66.5,1,10203,5970,460,50,一梯六户,1999,1,6,0.0 ,9,0,0
128.5,1,12571,8535,730,25,一梯七户,1999,1,4,0.0 ,9,0,0
86.9,1,6841,9852,460,10,一梯四户,1999,1,4,0.0 ,9,0,0
126.2,1,10887,12427,625,9,一梯四户,1999,1,1,17.7 ,3,4199,4218
134,1,8730,15929,800,26,两梯八户,1999,1,4,27.5 ,3,3593,7645
68.1,2,9352,10701,308,17,一梯十户,1999,2,1,20.9 ,7,3099,8127
130.2,1,16342,10379,860,11,一梯五梯,1999,1,1,130.2 ,3,6975,8322
74.5,1,6112,9154,202,15,两梯六户,1999,2,1,22.1 ,3,3134,6468
100.7,2,11270,12088,250,9,一梯三户,1999,2,4,15.4 ,5,3379,5553
110,1,12041,11586,1000,32,三梯八户,1999,1,4,28.7 ,3,3467,7361
72.1,1,6687,11115,348,10,一梯五户,1999,1,3,15.4 ,3,3636,5698
85,2,8382,12831,340,9,一梯四户,1999,1,2,27.4 ,5,3784,6671
82.3,2,8216,11207,315,9,一梯四户,1999,1,4,26.1 ,5,3541,8216
85.4,2,8236,12471,335,9,一梯四户,1999,1,1,36.2 ,2,3888,9682
76.6,1,8454,10069,380,9,一梯六户,1999,1,4,25.7 ,1,5482,6305
116,1,12172,10166,688,34,两梯六户,1999,2,4,12.2 ,5,4110,3673
69.3,2,12342,4335,288,9,一梯四户,1999,2,2,19.8 ,7,4898,4335
83,2,9275,9744,275,9,一梯九户,1999,1,4,31.7 ,5,3645,6930
84,2,8286,8999,295,9,一梯三户,1999,1,1,28.4 ,1,2978,7578
67,2,8919,9483,185,9,一梯五户,1999,1,4,22.4 ,3,3516,5881
116,1,9116,13439,450,9,一梯八户,1999,1,4,20.9 ,7,3336,4575
86.5,2,9605,9120,218,7,一梯四户,1999,3,2,17.8 ,3,4000,4453
106.9,1,13872,7746,320,4,一梯一梯,1999,3,4,24.8 ,7,5944,4170
81.7,1,11215,11650,310,4,一梯一梯,1999,3,3,24.8 ,3,5835,4255
98.7,2,10319,8805,350,9,一梯两户,1999,2,1,28.8 ,3,3419,5836
76.4,1,8091,10312,293,12,一梯六梯,1999,1,2,19.0 ,1,3622,5239
109.9,1,11315,10312,360,13,一梯六梯,1999,1,8,29.3 ,1,3265,8240
55.2,1,9051,8240,162,6,一梯四梯梯,1999,1,1,19.4 ,7,6080,4480
115.6,1,14485,9374,462,12,二梯六梯,1999,1,3,35.1 ,7,4554,7215
95.2,1,13382,7719,368,8,一梯二梯,1999,1,5,25.0 ,6,5132,3261
60.3,2,9405,6525,180,6,一梯四梯梯,1999,1,2,20.3 ,9,4830,5060
95.6,1,12087,9790,430,9,一梯三户,1999,1,1,35.8 ,1,4635,8310
105,1,12294,9870,448,9,一梯三户,1999,1,3,35.7 ,7,4526,6642
130.6,1,9810,16191,1010,28,两梯八户,1999,1,1,49.2 ,1,6855,8010
118.9,1,12500,13020,661,32,三梯九户,1999,1,1,35.6 ,3,5655,6270
109,1,13404,8780,850,28,两梯八户,1999,1,3,31.5 ,3,3885,4461
128.1,2,11857,12907,578,7,一梯两户,1999,2,3,31.2 ,3,7049,7039
82.1,1,9643,8077,395,7,一梯五户,1999,2,4,15.5 ,8,3112,5800
107.8,1,14412,8388,490,9,一梯六户,1999,1,6,37.1 ,3,3509,5361
90.8,2,6572,14337,248,8,一梯三户,1999,1,1,24.6 ,3,3492,7082
65.6,1,9615,9445,255,10,一梯六户,1999,1,3,27.4 ,3,5935,5610
76.6,1,6398,9890,300,8,一梯两户,1999,1,4,21.1 ,3,3360,5236
90.4,2,9691,9513,245,7,一梯四户,1999,3,1,12.0 ,3,3328,3594
86.7,2,9159,13169,238,7,一梯四户,1999,3,1,13.4 ,7,3134,4066
103.4,2,10072,10817,170,7,一梯四户,1999,3,6,27.1 ,2,4249,6380
96.6,2,9681,9266,188,7,一梯四户,1999,3,8,22.3 ,8,4111,5424
87.7,2,7670,11660,174,7,一梯两户,1999,3,7,13.9 ,6,3620,3830
66.6,2,4994,13196,338,3,一梯一户,1999,2,4,20.0 ,9,3169,4019
75,2,8004,9194,155,8,一梯四户,1999,3,3,28.7 ,7,3647,7649
81.7,2,14485,5245,135,6,一梯六户,1999,3,4,18.3 ,7,14485,4489
110,1,1204,11590,1000,32,三梯八户,1999,2,3,0.0 ,9,0,0
129,1,1251,9120,1180,32,三梯六户,1999,2,3,0.0 ,9,0,0
47.5,2,7400,6020,189,9,一梯五户,1999,2,3,15.2 ,7,3895,4560
74.9,1,12585,8011,412,19,两梯八户,1999,2,8,22.9 ,7,6302,3633
66.7,2,10849,7077,252,9,一梯五梯户,1999,2,3,24.3 ,3,4185,7077
96.8,1,9977,10537,315,9,一梯四户,1999,1,1,25.1 ,3,4904,5122
146.7,2,19381,7402,345,8,一梯四户,1999,1,1,45.8 ,5,6148,7402
97.4,1,9555,10351,308,9,一梯四户,1999,1,1,14.0 ,3,4785,5837
89.9,2,9702,9492,258,9,一梯五户,1999,1,3,23.3 ,7,3740,5865
137.5,1,7160,18305,325,8,一梯四户,1999,1,1,26.0 ,1,6080,4276
94.7,2,8792,12247,268,9,一梯五户,1999,1,4,15.7 ,3,3027,4415
90.9,1,8266,12498,210,7,一梯四户,1999,3,3,28.3 ,5,9064,5187
37,1,8165,12745,150,8,一梯四户,1999,3,1,0.0 ,7,0,0
93.5,1,10579,11141,392,12,一梯七户,1999,1,4,24.1 ,7,4940,4300
145.6,1,8661,7787,1200,14,二梯六梯,1999,2,1,26.8 ,3,4066,6474
76.4,1,8091,10312,293,12,一梯六户,1999,1,1,19.0 ,7,3622,5239
86.5,1,8394,10710,240,9,五梯,1999,2,4,24.6 ,3,3124,7383
66.6,1,4994,15602,338,3,一梯一户,1999,2,4,20.0 ,5,1906,6056
86.3,2,9589,7505,320,6,一梯四户,1999,3,2,15.5 ,3,3996,3088
95.1,2,11273,7415,342,6,一梯四户,1999,3,7,13.9 ,4,3746,3708
95,2,10123,10592,390,6,一梯四户,1999,3,7,14.8 ,4,3783,4063
83.7,1,8566,9810,390,9,一梯四梯梯,1999,2,3,33.9 ,7,3220,5483
65,2,7819,8435,130,5,一梯三十六户,1999,3,4,12.9 ,1,3729,3447
66.5,2,7668,9647,134,5,一梯三十五户,1999,3,6,12.7 ,6,3928,3267
114,1,10512,10764,450,11,一梯四户,2000,3,5,17.5 ,2,3847,4537
114,1,8921,9910,450,11,一梯四户,2000,3,6,13.0 ,6,3204,4047
103.7,1,14490,6843,650,28,三梯八户,2000,1,3,0.0 ,9,0,0
78.8,2,6203,10937,365,10,一梯三户,2000,1,3,24.8 ,3,3286,7719
82.4,2,7370,11388,179,8,一梯二梯,2000,3,4,25.0 ,3,3801,4701
77.8,1,7830,9530,218,8,一梯两户,2000,3,5,16.8 ,4,3620,4660
83.4,1,7020,11270,218,12,一梯四户,2000,3,2,10.2 ,3,2870,3550
102,2,12716,6238,244,7,一梯四户,2000,3,2,13.9 ,7,4030,3443
100.8,2,9992,9277,299,8,一梯四户,2000,3,1,13.5 ,3,2231,3609
97.1,2,9943,8752,262,8,一梯四户,2000,3,6,13.3 ,2,3556,3731
105.9,1,8824,15527,730,31,三梯九户,2000,1,1,39.2 ,3,3517,12885
95.1,1,8374,11241,600,32,三梯十六户,2000,1,1,25.3 ,2,2289,3025
128.3,1,7210,15963,700,16,两梯十一户,2000,1,2,20.2 ,5,4000,3502
83.9,2,10375,8840,420,9,一梯五户,2000,2,2,28.6 ,3,7420,3205
110,2,11345,11924,680,9,一梯五户,2000,2,3,42.1 ,3,4083,10504
86.7,2,7088,110851,372,8,一梯四户,2000,1,4,27.3 ,7,4131,7599
69.5,2,6223,11041,350,9,一梯四户,2000,1,4,17.8 ,9,3703,3727
107,2,10231,9525,458,8,一梯四户,2000,1,3,30.5 ,7,3801,7903
109.3,1,9911,11059,655,30,三梯九户,2000,2,3,28.5 ,1,4133,6412
80.3,1,6792,4729,455,30,三梯一梯,2000,1,2,15.5 ,7,4735,2889
98,1,6686,14041,310,16,两梯八户,2000,2,3,17.5 ,7,4898,3159
81.6,2,9324,11167,360,9,一梯八户,2000,2,3,23.2 ,7,4044,7589
90.8,1,8218,13885,436,28,两梯十二户,2000,2,4,29.2 ,7,4240,7116
133,1,11911,14104,668,28,两梯十二户,2000,2,4,34.8 ,3,4132,5543
133.6,1,10923,13758,599,28,两梯十二户,2000,2,4,27.8 ,3,3292,6255
120.4,1,10681,11373,450,12,两梯五户,2000,2,2,27.0 ,5,4036,6677
92.7,2,7910,13758,257,7,一梯两户,2000,3,4,19.5 ,3,3497,5569
91.4,2,7731,14028,256,7,一梯两户,2000,3,4,19.8 ,3,3475,5705
119.7,2,9755,13610,259,7,一梯两户,2000,3,1,27.0 ,5,5110,5290
114.6,2,12330,110855,310,7,一梯三户,2000,3,4,25.2 ,3,4509,5385
213.5,1,12912,13528,2420,3,一梯一户,2000,2,6,24.8 ,3,4357,5526
97.3,2,16756,7642,309,8,一梯五户,2000,2,4,22.5 ,5,5922,3814
78.7,2,8350,8439,448,9,一梯四户,2000,2,4,12.0 ,7,2761,4331
134.9,1,13247,13000,510,10,一梯四梯梯,2000,3,8,24.4 ,3,3967,6088
133.6,1,9924,10374,1250,29,三梯七户,2000,2,1,19.6 ,3,3601,5433
117.7,2,11331,12919,370,9,一梯两户,2000,1,3,26.1 ,3,5726,4557
69.6,2,7270,8617,193,8,一梯四户,2000,3,8,20.7 ,4,3796,5455
85.9,1,9165,9742,235,26,两梯五户,2000,3,1,15.7 ,7,3715,4201
86.9,1,9269,9092,439,13,二梯六户,2000,1,1,26.0 ,3,3681,7649
88.5,1,11418,8975,488,18,两梯六户,2000,1,4,30.9 ,3,8244,4359
88,1,8808,9449,528,15,两梯六户,2000,1,2,25.8 ,7,3592,9449
93.1,2,9724,11562,450,7,一梯两户,2000,1,4,22.8 ,7,3477,7059
97.8,1,7450,11871,650,18,两梯六户,2000,1,1,32.2 ,3,4852,8740
101,1,11530,12314,538,29,三梯十一户,2000,2,4,29.4 ,5,4553,5027
82.8,1,7077,11765,450,29,三梯十一户,2000,2,2,14.4 ,1,4014,3581
101.4,1,6780,12180,700,29,三梯十一户,2000,2,3,35.3 ,3,4929,6045
106.6,1,12902,9505,681,30,四梯十六户,2000,2,3,30.2 ,1,3855,6345
87.8,2,10506,10800,255,9,一梯十户,2000,2,4,30.8 ,7,5339,4938
82.4,1,12052,6540,405,24,两梯八户,2000,2,4,24.0 ,9,5945,3651
127.3,1,14561,9090,535,28,两梯九户,2000,2,3,39.5 ,1,5542,7010
78,2,5024,13429,278,9,一梯三户,2000,1,3,27.0 ,7,5024,5234
112,2,11080,9108,200,4,一梯两户,2000,3,3,28.0 ,3,4262,7225
100.2,1,12457,5864,200,7,一梯四户,2000,3,3,23.6 ,3,4032,5864
76.2,2,13323,5690,405,9,一梯四户,2000,2,3,16.8 ,3,3021,5561
90.6,2,11373,10993,415,9,一梯四户,2000,2,3,19.2 ,5,4628,4157
107,1,9313,11521,643,8,一梯两户,2000,2,4,18.5 ,3,4171,5436
117,1,10398,13934,308,26,两梯五户,2000,3,5,19.2 ,6,3848,4990
95.2,1,9815,9812,275,26,两梯五户,2000,3,5,14.9 ,6,3736,3988
90.9,1,11488,12477,415,9,一梯五户,2000,1,1,30.2 ,3,4622,9628
79.2,1,8825,7902,48000,9,一梯七户,2000,2,2,8.0 ,5,3051,2615
88.9,1,10511,8038,533,31,三梯八户,2000,1,4,26.5 ,3,3056,6596
99.2,1,11739,9165,680,31,两梯六户,2000,1,4,29.9 ,7,3407,7273
78,1,9231,6840,275,9,一梯四户,2000,1,2,24.5 ,5,4188,5638
85.4,2,9191,9519,250,8,一梯四户,2000,3,3,14.5 ,7,3641,3978
89.4,2,8325,11215,202,8,一梯两户,2000,3,6,27.6 ,2,5090,5310
126,1,12130,12960,390,26,两梯五户,2000,3,4,25.1 ,3,4200,5981
104.4,1,14039,8367,312,18,两梯三户,2000,3,3,8.8 ,5,3860,2283
100.1,1,10471,11048,300,26,两梯五户,2000,3,3,20.9 ,3,3745,5571
103.4,1,11170,10008,320,16,两梯五户,2000,3,2,15.5 ,3,3550,4364
88.6,1,11310,9170,265,16,两梯五户,2000,3,3,14.3 ,3,3680,3890
101.4,1,7340,12489,700,29,三梯十户,2000,2,3,35.3 ,3,3001,6045
73.1,2,8632,8549,179,6,一梯四户,2000,3,8,21.9 ,2,8632,7405
79.7,2,8745,9495,190,6,一梯四户,2000,3,2,27.4 ,3,8745,7970
79.8,2,8650,9393,198,6,一梯四户,2000,3,3,25.6 ,3,8650,5820
116.6,1,12367,11374,480,12,两梯五户,2000,2,8,27.8 ,3,4835,8352
111.2,1,7523,12067,440,16,两梯九户,2000,2,2,20.6 ,1,5221,3885
111,1,9550,12399,440,16,两梯九户,2000,2,2,16.3 ,1,3640,4465
101.4,1,12586,8750,383,14,两梯九户,2000,2,3,13.3 ,3,4962,2688
111.3,1,11692,9411,450,18,两梯十户,2000,2,4,22.3 ,7,3824,7509
57.8,1,8651,4733,260,18,两梯十一户,2000,2,3,15.3 ,1,6179,4733
89,1,13029,6699,370,18,两梯十户,2000,2,4,14.0 ,7,3788,3696
107.8,2,9650,14440,623,9,一梯三梯,2000,1,4,46.5 ,3,8105,10550
101,2,11845,10680,465,8,一梯二梯,2000,1,3,29.6 ,5,7960,7292
78.7,2,7750,11056,338,5,一梯二梯,2000,1,4,19.5 ,3,3365,4061
101.9,2,9888,10393,419,9,一梯八梯,2000,1,2,36.3 ,3,6263,9025
119.2,2,14711,10627,520,9,一梯八梯,2000,1,1,27.0 ,7,4496,3367
132.6,1,11840,13921,335,19,两梯八户,2000,1,7,24.7 ,1,4412,5592
98.5,1,8471,12643,235,19,两梯八户,2000,1,5,18.2 ,7,2325,7919
82.9,1,11172,7355,315,16,两梯八户,2000,1,4,14.0 ,7,5049,2776
83,1,,7664,310,16,两梯八户,2000,1,3,13.7 ,9,4981,2784
83.8,1,6816,11554,319,16,两梯八户,2000,1,2,11.7 ,7,3396,3455
92,1,10594,9546,668,31,三梯六户,2000,2,1,9.1 ,1,3612,5535
80.6,1,7637,8968,205,15,两梯八户,2000,2,2,18.6 ,5,2582,7474
63.6,1,8239,7375,210,12,一梯七户,2000,2,4,22.3 ,3,5869,4629
107.6,2,9550,10615,750,7,一梯一梯,2000,2,6,30.2 ,4,5309,5251
123.9,1,16045,8670,839,22,二梯梯八梯户,2000,1,4,38.9 ,7,5705,8670
125.5,1,11190,9960,368,32,三梯六梯,2000,3,4,27.5 ,3,3590,3570
144,1,10190,13460,408,55,四梯六户,2000,3,4,12.3 ,5,3930,3140
131.4,1,10900,11340,365,48,四梯六户,2000,3,1,16.5 ,3,3450,4790
136.7,1,12450,11120,432,11,一梯两户,2000,3,3,16.1 ,3,4590,3540
126.3,1,11570,10400,330,31,两梯三户,2000,3,4,16.4 ,7,4040,5070
99.4,1,8690,13180,329,55,四梯六户,2000,3,1,16.6 ,3,3610,4610
103,1,9840,8860,338,55,三梯六户,2000,3,4,23.0 ,3,5220,4510
158.2,1,17421,9576,580,11,一梯四户,2000,3,4,36.4 ,4,8705,5515
148,1,17444,11458,550,11,一梯四户,2000,3,3,23.2 ,2,4696,5482
82,2,14691,6217,330,9,一梯六户,2000,2,3,27.7 ,1,7326,3025
116,1,1863,6852,738,19,两梯八户,2000,2,2,36.4 ,1,9632,3783
116,1,13308,7633,738,19,两梯八户,2000,2,2,36.3 ,1,3783,9632
87.7,1,6103,15939,510,8,一梯六户,2000,2,4,33.3 ,4,5759,8777
127.2,1,8093,15536,800,29,两梯五户,2000,2,3,39.8 ,1,8093,5692
103.5,1,8338,11180,285,23,两梯八户,2000,3,3,23.4 ,3,4766,4917
88.9,1,9479,8206,252,9,一梯四户,2000,3,7,17.2 ,7,3888,4427
91.4,1,9392,11831,195,12,两梯八户,2000,3,4,13.0 ,4,4470,4000
101.3,2,8739,11061,315,6,一梯六户,2001,1,2,20.6 ,5,4414,5277
63,2,5971,8564,180,6,一梯四户,2001,1,1,19.7 ,3,3276,5422
79.8,2,7493,10527,288,6,一梯六户,2001,1,4,23.7 ,5,3330,7114
100.9,2,10255,10649,285,6,一梯四梯梯,2001,3,3,21.0 ,7,3708,7508
110,2,11242,12934,280,6,一梯四梯梯,2001,3,1,20.1 ,7,3468,8553
91.2,2,8020,10220,208,6,一梯八户,2001,3,2,13.9 ,3,3420,4070
115,2,10300,9620,220,6,一梯三户,2001,3,1,20.3 ,7,4030,5040
99.5,2,6760,10380,238,6,一梯八户,2001,3,1,16.3 ,7,3300,4880
105.2,1,8514,9664,429,9,一梯两户,2001,3,8,13.9 ,4,3718,3674
128.4,1,11515,10046,555,17,两梯四户,2001,3,1,18.6 ,3,3826,4205
100,1,7137,9396,440,8,一梯两户,2001,3,5,13.7 ,4,3120,3769
127.7,1,11627,11079,399,12,一梯四户,2001,3,2,17.9 ,7,3205,4639
